country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,fuel4,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
USA,United States of America,Soluga Farms 1,USA0059191,5.0,35.2431,-78.3869,Solar,,,,2014.0,Soluga Farms 1 LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,9.35,5.7611116184642155
USA,United States of America,Soluga Farms 2 LLC,USA0059192,5.0,34.5000,-78.6892,Solar,,,,2014.0,Soluga Farms 2 LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,9.445,5.7611116184642155
USA,United States of America,Soluga Farms III,USA0060580,5.0,35.2193,-78.6733,Solar,,,,2015.0,Soluga Farms III  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,10.3,5.7611116184642155
USA,United States of America,Solverde 1,USA0060185,85.0,34.6557,-118.2982,Solar,,,,2017.0,Sustainable Power Group  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,3.104,97.93889751389166
USA,United States of America,Solway CT,USA0007947,51.3,47.5446,-95.1297,Oil,Gas,,,2003.0506822612087,Otter Tail Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,39.509,8.78938248456684
USA,United States of America,Somers Solar Center  LLC,USA0058554,5.0,41.9550,-72.4458,Solar,,,,2014.0,Dominion Renewable Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,10.370000000000001,5.7611116184642155
USA,United States of America,Somerset Operating Co LLC,USA0006082,655.1,43.3589,-78.6047,Coal,Petcoke,,,1984.0000000000002,Somerset Operating Co LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,627.632005,3431.244445796938
USA,United States of America,Somerset Plant,USA0050406,107.1,44.7035,-69.6474,Waste,Gas,Biomass,Other,1984.0,Sappi Fine Paper North America-Somerset,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,507.82099800000003,50.9781757134863
USA,United States of America,Somersworth Lower Great Dam,USA0050704,1.3,43.2511,-70.8408,Hydro,,,,1985.0,Somersworth Hydro Company  Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,2.625,3.6242571703301856
USA,United States of America,Sonne One,USA0058782,5.0,35.4372,-77.8336,Solar,,,,2016.0,Cypress Creek Renewables,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,10.007,5.7611116184642155
USA,United States of America,Sonne Two,USA0058829,5.0,35.6567,-81.1836,Solar,,,,2017.0,Heelstone Energy Holdings  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,0.20600000000000002,5.7611116184642155
USA,United States of America,Sonoco Products Co,USA0057919,40.5,34.3853,-80.0678,Coal,Waste,Gas,,1954.0987654320988,Sonoco Products Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,150.85100000000003,212.12853007903524
USA,United States of America,Sonoma California Geothermal,USA0000510,78.0,38.7903,-122.7559,Geothermal,,,,1984.0,Geysers Power Co LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,242.482,381.3777243505985
USA,United States of America,Sonoma Central Landfill Phase I,USA0055752,3.2,38.3017,-122.7489,Waste,,,,1993.0,County of Sonoma Dept of Trnsp,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,15.849,3.9963458099049136
USA,United States of America,Sonoma Central Landfill Phase II,USA0055753,3.2,38.3017,-122.7489,Waste,,,,1996.0000000000002,County of Sonoma Dept of Trnsp,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,15.46,3.9963458099049136
USA,United States of America,Sonoma Central Landfill Phase III,USA0055880,1.6,38.3017,-122.7489,Waste,,,,2004.0,County of Sonoma Dept of Trnsp,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,,1.9981729049524568
USA,United States of America,Sonoma County Fuel Cell,USA0057793,1.4,38.4667,-122.7234,Gas,,,,2010.9999999999998,The County of Sonoma,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,4.663,5.761298886482439
USA,United States of America,Sonora 1,USA0058578,1.5,37.8898,-120.5287,Solar,,,,2014.0,Fresh Air Energy IV LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,3.79,1.7283334855392645
USA,United States of America,Sooner,USA0006095,1138.0,36.4531,-97.0528,Coal,Oil,,,1980.0,Oklahoma Gas & Electric Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,4073.4480080000003,5960.5498081467185
USA,United States of America,Sophie Solar,USA0058745,4.5,35.3050,-81.6969,Solar,,,,2016.0,Sophie Solar LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,5.19,5.185000456617794
USA,United States of America,Soul City Solar,USA0059606,3.5,36.2500,-78.2500,Solar,,,,2015.0,Soul City Solar,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,5.711,4.032778132924951
USA,United States of America,South,USA0000280,6.7,40.3954,-121.8792,Hydro,,,,1980.0,Pacific Gas & Electric Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,20.39,18.67886387785557
USA,United States of America,South Atlantic Services Solar Farm I,USA0060798,1.6,34.2902,-77.9757,Solar,,,,2014.0,South Atlantic Services Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,3.121,1.8435557179085489
USA,United States of America,South Bay Fuel Cell Plant,USA0057770,1.5,32.5433,-117.0678,Gas,Biomass,,,2012.0,BioFuels Point Loma LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,5.561,6.172820235516899
USA,United States of America,South Belridge Cogeneration Facility,USA0050752,94.19999999999999,35.4386,-119.7075,Gas,,,,1986.3333333333333,AERA Energy LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,428.921,387.6531107904612
USA,United States of America,South Cairo,USA0002485,21.6,42.2913,-73.9865,Oil,,,,1969.9999999999998,Central Hudson Gas & Elec Corp,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,0.06,3.7007926250807754
USA,United States of America,South Campus Solar,USA0059922,1.3,39.7815,-75.5484,Solar,,,,2011.0,JPMorgan Chase Bank,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,1.33155,1.497889020800696
USA,United States of America,South Canal Hydro-1,USA0058783,4.0,38.4833,-107.7550,Hydro,,,,2013.0,Delta-Montrose Electric Association,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,15.317,11.151560524092877
USA,United States of America,South Canal Hydro-3,USA0058784,3.5,38.4703,-107.7714,Hydro,,,,2013.0,Delta-Montrose Electric Association,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,13.36,9.757615458581268
USA,United States of America,South Chestnut LLC,USA0056796,50.4,39.7513,-79.7271,Wind,,,,2012.0000000000002,Avangrid Renewables LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,109.193,113.64358111007847
USA,United States of America,South Colton,USA0002611,21.0,44.5133,-74.8831,Hydro,,,,1954.0,Erie Boulevard Hydropower LP,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,69.985,58.54569275148761
USA,United States of America,South Columbus Water Resource Facility,USA0057076,3.6,32.4119,-84.9761,Gas,Biomass,,,2010.0,Columbus Water Works,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,3.218,14.81476856524056
USA,United States of America,South Consolidated,USA0000100,1.4,33.4665,-111.7811,Hydro,,,,1980.9999999999998,Salt River Project,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,0.0,3.903046183432507
USA,United States of America,South Dakota Wind Energy Cente,USA0056092,40.5,44.5492,-99.5000,Wind,,,,2003.0,FPL Energy South Dakota Wind LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,137.68,91.32073482059877
USA,United States of America,South District Wastewater Treatment Plt,USA0054624,8.0,25.5498,-80.3363,Waste,Gas,Biomass,,2014.0,Miami Dade Water & Sewer Dept,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,19.752000000000002,9.990864524762285
USA,United States of America,South Dry Creek Hydro,USA0010138,2.0,45.2063,-109.1652,Hydro,,,,1985.0,Hydrodynamics Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,6.242,5.575780262046439
USA,United States of America,South Edwards,USA0002604,4.0,44.2678,-75.1961,Hydro,,,,1934.75,Erie Boulevard Hydropower LP,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,11.354000000000001,11.151560524092877
USA,United States of America,South Energy Center,USA0056518,4.1,29.6383,-82.3400,Gas,,,,2009.0,Gainesville Regional Utilities,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,23.121000000000002,16.872375310412856
USA,United States of America,South Fond Du Lac,USA0007203,381.6,43.7353,-88.4967,Oil,Gas,,,1994.25,Wisconsin Power & Light Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,17.399,65.38066970976037
USA,United States of America,South Fork,USA0056265,2.0,55.5633,-132.8911,Hydro,,,,2006.0,Alaska Power and Telephone Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,5.322,5.575780262046439
USA,United States of America,South Fork Tolt,USA0000622,16.8,47.6992,-121.7833,Hydro,,,,1995.0,City of Seattle - (WA),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,52.101,46.83655420119009
USA,United States of America,South Fork Wind Farm,USA0058691,13.0,43.5911,-95.4083,Wind,,,,2017.0,South Fork Wind LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,3.448,29.31282846093294
USA,United States of America,South Forks Hydro,USA0010296,8.0,42.4937,-114.3102,Hydro,,,,1985.0,South Forks Joint Venture,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,26.754,22.303121048185755
USA,United States of America,South Generation,USA0007982,6.6000000000000005,44.5331,-95.1122,Oil,,,,2003.0,Redwood Falls Public Util Comm,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,0.272,1.1307977465524592
USA,United States of America,South Georgia Medical Center,USA0054848,5.5,30.8625,-83.2894,Oil,,,,2010.7454545454543,Lowndes County Hospital Authority,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,0.0,0.9423314554603825
USA,United States of America,South Glens Falls Hydroelectric,USA0054772,13.8,43.3044,-73.6399,Hydro,,,,1994.0,Boralex Hydro Operations Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,59.404,38.472883808120436
USA,United States of America,South Hampton,USA0002519,11.5,40.9000,-72.3820,Oil,,,,1963.0,National Grid Generation LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,1.6340000000000001,1.970329406871709
USA,United States of America,South Harper,USA0056151,351.0,38.6803,-94.4824,Gas,,,,2005.0,KCP&L Greater Missouri Operations Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,4.655,1444.4399351109544
USA,United States of America,South Holston,USA0003416,38.5,36.5232,-82.0902,Hydro,,,,1951.0,Tennessee Valley Authority,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,108.628,107.33377004439396
USA,United States of America,South Hurlburt Wind LLC,USA0057549,290.0,45.7063,-120.0800,Wind,,,,2012.0,Caithness Shepherds Flat LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,585.383,653.9015579746579
USA,United States of America,South Kent Generating Station,USA0056851,3.2,42.7814,-85.6728,Waste,,,,2009.0,Granger Electric Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,23.886,3.9963458099049136
USA,United States of America,South Louisburg Solar,USA0059825,5.0,36.0570,-78.3080,Solar,,,,2016.0,Cypress Creek Renewables,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,2.016,5.7611116184642155
USA,United States of America,South Main Street,USA0000961,15.8,41.9092,-89.0504,Oil,Gas,,,1999.8101265822784,Rochelle Municipal Utilities,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,1.502,2.7070612720498266
USA,United States of America,South Meadow,USA0000563,167.2,41.7495,-72.6524,Oil,,,,1970.0000000000002,NAES Corp,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,1.295,28.646876245995628
USA,United States of America,South Milford Solar Plant,USA0059620,2.9,38.3111,-113.0536,Solar,,,,2015.0,REUT Origination  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,7.304,3.3414447387092445
